,name,cover,source,url,favorited,artist
55,Experiment 6022,https://i1.sndcdn.com/artworks-000307470132-aytrdb-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/experiment-6022.mp3?raw=true,https://soundcloud.com/tsunderelaboratoriesincorporated/experiment-6022,false,Tsunderelaboratoriesincorporated
56,Confusion,https://i1.sndcdn.com/artworks-4PDnnt0CBqAYfVy7-9Ji22A-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/confusion.mp3?raw=true,https://soundcloud.com/sh1ruett0/confusion,false,Sh1Ruett0
57,Heaven,https://i1.sndcdn.com/artworks-000356330280-lt4s63-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/heaven.mp3?raw=true,https://soundcloud.com/spudmcqueen/heaven,false,Spudmcqueen
58,Deep House 5 Minute Scratch Mixfaydz,https://i1.sndcdn.com/artworks-000221198882-4jjedv-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/deep-house-5-minute-scratch-mixfaydz.mp3?raw=true,https://soundcloud.com/djfaydz/deep-house-5-minute-scratch-mixfaydz,false,Djfaydz
59,Android Apartment X Future Girlfriend Love Doesnt Know What Distance Is 9K Thank You 3,https://i1.sndcdn.com/artworks-000186086526-dphfzg-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/android-apartment-x-future-girlfriend-love-doesnt-know-what-distance-is-9k-thank-you-3.mp3?raw=true,https://soundcloud.com/android-apartment/android-apartment-x-future-girlfriend-love-doesnt-know-what-distance-is-9k-thank-you-3,false,Android Apartment
60,Laszlo Interstellar,https://i1.sndcdn.com/artworks-000088638706-deqkec-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/laszlo-interstellar.mp3?raw=true,https://soundcloud.com/monstercat/laszlo-interstellar,false,Monstercat
61,Gracidea,https://i1.sndcdn.com/artworks-sbleKbRV0rvuL6wd-nDUU1Q-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/gracidea.mp3?raw=true,https://soundcloud.com/yitakulxiv/gracidea,false,Yitakulxiv
62,Victory Fanfare,https://i1.sndcdn.com/avatars-aPXogjt1jfUkpBfY-AyyJSA-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/victory-fanfare.mp3?raw=true,https://soundcloud.com/korewamoemoemoe/victory-fanfare,false,Korewamoemoemoe
63,Esa Narchbeats Blast Ftpendo Zawose,https://i1.sndcdn.com/artworks-000216533545-3f4hg6-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/esa-narchbeats-blast-ftpendo-zawose.mp3?raw=true,https://soundcloud.com/narchbeats/esa-narchbeats-blast-ftpendo-zawose,false,Narchbeats
64,Prism,https://i1.sndcdn.com/artworks-000200909372-pzuax8-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/prism.mp3?raw=true,https://soundcloud.com/sylcmyk/prism,false,Sylcmyk
65,Danelle Chairs Rmx,https://i1.sndcdn.com/artworks-000360875964-2cw7q6-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/danelle-chairs-rmx.mp3?raw=true,https://soundcloud.com/kokonoku/danelle-chairs-rmx,false,Kokonoku
66,Hi Bich,https://i1.sndcdn.com/artworks-000243696470-mff9x8-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/hi-bich.mp3?raw=true,https://soundcloud.com/bhadbhabie/hi-bich,false,Bhadbhabie
67,Double On Genre Dnb Lounge Ft Diveo,https://i1.sndcdn.com/artworks-000121492145-72e8hk-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/double-on-genre-dnb-lounge-ft-diveo.mp3?raw=true,https://soundcloud.com/ethanlinnn/double-on-genre-dnb-lounge-ft-diveo,false,Ethanlinnn
68,Haywyre Storyteller Cofresi Remix,https://i1.sndcdn.com/artworks-000602518009-ovvpk2-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/haywyre-storyteller-cofresi-remix.mp3?raw=true,https://soundcloud.com/cofresimusic/haywyre-storyteller-cofresi-remix,false,Cofresimusic
69,Triple Six,https://i1.sndcdn.com/artworks-mmlH4chJSg3MD8Ky-5nbhxg-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/triple-six.mp3?raw=true,https://soundcloud.com/ghostfaceplaya/triple-six,false,Ghostfaceplaya
70,Buster,https://i1.sndcdn.com/artworks-000596824322-dcpvg0-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/buster.mp3?raw=true,https://soundcloud.com/satorizoom/buster,false,Satorizoom
71,Egor Muf Faraon Novyy Albom,https://i1.sndcdn.com/artworks-CpXrn0jlVMXhzUQN-NWQKaw-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/egor-muf-faraon-novyy-albom.mp3?raw=true,https://soundcloud.com/analog-sunset-733130590/egor-muf-faraon-novyy-albom,false,Analog Sunset 733130590
72,Dreamland Singularity Mutrix,https://i1.sndcdn.com/artworks-000073261113-6veswt-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/dreamland-singularity-mutrix.mp3?raw=true,https://soundcloud.com/singularity/dreamland-singularity-mutrix,false,Singularity
