,name,cover,source,url,favorited,artist,songfile,Size (MB)
502,Alvaphille,https://i1.sndcdn.com/artworks-JlvFRtty4mDvSbQq-KU60WA-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/alvaphille.mp3?raw=true,https://soundcloud.com/blujay55555/alvaphille,False,Blujay55555,let-me-take-you-back.mp3,8.54
503,Timelapse,https://i1.sndcdn.com/artworks-000111998321-6j2aix-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/timelapse.mp3?raw=true,https://soundcloud.com/jordan-elgie/timelapse,False,Jordan Elgie,let-you-know.mp3,1.94
504,Fool The Forgotten Dystopia 2077,https://i1.sndcdn.com/artworks-HiSti172uwLg9eaJ-ZtOwvw-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/fool-the-forgotten-dystopia-2077.mp3?raw=true,https://soundcloud.com/monstercat/fool-the-forgotten-dystopia-2077,False,Monstercat,lets-get-lit.mp3,2.23
505,Trip To Chinatown With Mogg 1,https://i1.sndcdn.com/artworks-inZCrCx5RWVWyoLe-enG8qg-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/trip-to-chinatown-with-mogg-1.mp3?raw=true,https://soundcloud.com/anipai/trip-to-chinatown-with-mogg-1,False,Anipai,lets-get-together.mp3,3.69
506,Eureka,https://i1.sndcdn.com/artworks-jLBVJknQFJHCIg0t-cCGXyA-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/eureka.mp3?raw=true,https://soundcloud.com/jazzyryuuji/eureka,False,Jazzyryuuji,level.mp3,2.05
507,You Make Me Go With Rob Gasser And Miyoki,https://i1.sndcdn.com/artworks-000089097620-o614mw-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/you-make-me-go-with-rob-gasser-and-miyoki.mp3?raw=true,https://soundcloud.com/insan3lik3/you-make-me-go-with-rob-gasser-and-miyoki,False,Insan3Lik3,life-of-a-hentai-dude.mp3,0.76
508,A Certian Intrumental,https://i1.sndcdn.com/artworks-000562513221-2vbc3l-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/a-certian-intrumental.mp3?raw=true,https://soundcloud.com/plexi-two/a-certian-intrumental,False,Plexi Two,light-up.mp3,2.09
509,Vicetone Nevada,https://i1.sndcdn.com/artworks-000168845355-wnya6k-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/vicetone-nevada.mp3?raw=true,https://soundcloud.com/monstercat/vicetone-nevada,False,Monstercat,lighters.mp3,3.14
510,Daechwita,https://i1.sndcdn.com/artworks-g0UMfoWyxYZuJrXs-sVJqHw-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/daechwita.mp3?raw=true,https://soundcloud.com/bangtan/daechwita,False,Bangtan,like-you.mp3,3.63
511,2020 Genie Rager Rucker 80Bpm Final Gb Major,https://i1.sndcdn.com/artworks-eBFZs8zt6yBd4pvk-pMz7gg-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/2020-genie-rager-rucker-80bpm-final-gb-major.mp3?raw=true,https://soundcloud.com/engelwoodbeats/2020-genie-rager-rucker-80bpm-final-gb-major,False,Engelwoodbeats,lil-peep-ft-xxxtentacion-falling-down.mp3,2.99
512,Polka Dot Positive,https://i1.sndcdn.com/artworks-TkZkKyZXiIle0Cx1-g5SMiQ-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/polka-dot-positive.mp3?raw=true,https://soundcloud.com/pogomix/polka-dot-positive,False,Pogomix,lipstick.mp3,2.83
514,Pokemon League Day Pizza Knight Remix,https://i1.sndcdn.com/artworks-000174972699-v2r92d-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/pokemon-league-day-pizza-knight-remix.mp3?raw=true,https://soundcloud.com/pizza-knight/pokemon-league-day-pizza-knight-remix,False,Pizza Knight,little-kouhai.mp3,2.54
515,Jun Hayakawa With Atsuki Yoshida Song Of The Ancients,https://i1.sndcdn.com/artworks-000282055250-x9k6vk-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/jun-hayakawa-with-atsuki-yoshida-song-of-the-ancients.mp3?raw=true,https://soundcloud.com/user5461766/jun-hayakawa-with-atsuki-yoshida-song-of-the-ancients,False,User5461766,livin-on-the-line-w-blanco.mp3,3.6
516,Dystopia Lp 1,https://i1.sndcdn.com/artworks-000598059656-fyy5zo-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/dystopia-lp-1.mp3?raw=true,https://soundcloud.com/katebi/dystopia-lp-1,False,Katebi,living-hell.mp3,2.57
517,365A,https://i1.sndcdn.com/artworks-lqGmxD8yjutYASsR-EtKRQQ-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/365a.mp3?raw=true,https://soundcloud.com/saury315/365a,False,Saury315,lmst.mp3,2.39
518,Vibe Pt 3,https://i1.sndcdn.com/artworks-KsAfl0kWxckcgxnk-OQRzqA-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/vibe-pt-3.mp3?raw=true,https://soundcloud.com/cookiee-kawaii/vibe-pt-3,False,Cookiee Kawaii,loading.mp3,3.86
519,Supremo,https://i1.sndcdn.com/artworks-sWvMoe2DsrliVsdt-8HjTVg-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/supremo.mp3?raw=true,https://soundcloud.com/pogomix/supremo,False,Pogomix,lockeddown.mp3,1.56
520,Living Hell,https://i1.sndcdn.com/artworks-000593331462-5c3d7d-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/living-hell.mp3?raw=true,https://soundcloud.com/sappy94/living-hell,False,Sappy94,lokan-antigravity.mp3,3.24
521,Shopkeeper,https://i1.sndcdn.com/artworks-RRXGwWsYy77ZJK56-7LNHbw-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/shopkeeper.mp3?raw=true,https://soundcloud.com/joshuamorse/shopkeeper,False,Joshuamorse,loop-that-i-messed-around-with.mp3,2.22
522,Friends,https://i1.sndcdn.com/artworks-heTvISq850a4Ge3U-9j6kmw-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/friends.mp3?raw=true,https://soundcloud.com/cutegirlsdoingcutethings/friends,False,Cutegirlsdoingcutethings,lost-childs-echo.mp3,2.81
523,Itseeezy Sunnys Groove,https://i1.sndcdn.com/artworks-IDF9wUoDVVXIyZcV-Nwy2wA-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/itseeezy-sunnys-groove.mp3?raw=true,https://soundcloud.com/orangesodabandit/itseeezy-sunnys-groove,False,Orangesodabandit,lost-in-circles.mp3,1.14
524,Little Kouhai,https://i1.sndcdn.com/artworks-000155555890-n6eygb-original.jpg,https://github.com/ADGVLOGS/ADGMusicPlayer/blob/main/music/little-kouhai.mp3?raw=true,https://soundcloud.com/pond-of-koi-fish/little-kouhai,False,Pond Of Koi Fish,louis-the-child-its-strange-ramzoid-remix.mp3,3.15
